Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Jalen Duren,C,19,DET,67,31,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,17.3,0.655,0.005,0.394,14.7,25.1,19.7,6.8,1.3,3.1,16.5,14.3,2.9,1.6,4.5,0.129,-0.4,-0.4,-0.8,0.5,4.12428,6.7164179104477615,4.3283582089552235,2.3880597014925375,0.7857142857142858,0.20279720279720279,9.3665,0.285140562248996,0.10843373493975905,0.0,13.156626506024097,1.6875,2.785714285714286,41.313432835820905
Tari Eason,PF,21,HOU,82,5,21.5,3.6,8.0,0.448,0.7,2.1,0.343,2.9,6.0,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,15.3,0.525,0.261,0.22,12.0,18.9,15.4,7.4,2.6,2.6,12.2,19.3,0.9,1.7,2.6,0.07,-1.3,-0.4,-1.7,0.1,3.35916,3.1707317073170733,1.0975609756097562,2.073170731707317,0.9166666666666667,0.046632124352331605,10.1325,0.2558139534883721,0.10697674418604651,20.792079207920793,15.572093023255816,1.277777777777778,3.5833333333333335,31.719512195121954
Anthony Edwards,SG,21,MIN,79,79,36.0,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,10.7334,4.810126582278481,0.25316455696202533,4.556962025316456,1.3333333333333335,0.006688963210702342,16.863599999999998,0.20833333333333334,0.06666666666666667,27.238805970149254,24.6,1.0434782608695652,3.5151515151515156,79.29113924050633
Kessler Edwards,SF,22,TOT,36,4,10.7,1.0,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.478,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,8.4,0.502,0.591,0.161,6.9,11.1,9.0,7.5,1.7,1.4,11.5,12.7,0.1,0.3,0.4,0.048,-3.2,-0.7,-3.9,-0.2,1.637966,1.1111111111111112,0.2777777777777778,0.8333333333333334,1.4999999999999998,0.007874015748031498,6.3754,0.15887850467289721,0.10280373831775702,36.585365853658544,9.42056074766355,1.8333333333333333,3.75,7.000000000000001
Keon Ellis,SG,23,SAC,16,0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,14.0,0.629,0.75,0.438,6.5,6.4,6.4,10.5,3.4,1.2,5.0,12.1,0.2,0.1,0.2,0.162,-0.1,1.4,1.3,0.1,0.508891,1.25,1.25,0.625,4.0,0.01652892561983471,7.6109,0.15909090909090906,0.13636363636363635,44.44444444444445,12.272727272727272,1.4999999999999998,8.0,8.75
Joel Embiid,C,28,PHI,66,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,33.61677,18.636363636363637,12.727272727272728,5.909090909090909,1.2352941176470589,0.22702702702702704,24.235,0.32080924855491333,0.08959537572254335,12.987012987012985,34.43930635838151,1.1481481481481481,3.5294117647058822,185.54545454545453
Drew Eubanks,C,25,POR,78,28,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,16.2,0.666,0.054,0.374,9.5,20.9,15.2,9.2,1.2,5.7,14.7,12.5,2.9,1.6,4.4,0.134,-0.9,0.9,0.1,0.8,1.83609,5.641025641025641,3.717948717948718,2.051282051282051,1.4444444444444444,0.23199999999999998,8.325000000000001,0.270935960591133,0.10837438423645321,4.444444444444445,11.704433497536945,1.2222222222222223,3.111111111111111,33.230769230769226
Bruno Fernando,C,24,TOT,39,4,10.4,1.5,2.9,0.527,0.0,0.1,0.0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,16.6,0.571,0.036,0.446,14.5,22.8,18.6,10.8,0.7,8.1,15.7,16.3,0.5,0.4,0.9,0.109,-2.8,0.7,-2.0,0.0,2.717391,2.307692307692308,1.282051282051282,1.0256410256410255,1.3333333333333335,0.03067484662576687,9.3073,0.3076923076923077,0.18269230769230768,3.3333333333333335,13.5,1.727272727272727,2.5,17.025641025641026
Dorian Finney-Smith,PF,29,TOT,66,66,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,9.2,0.523,0.675,0.118,6.5,11.5,9.0,6.7,1.4,1.6,10.5,13.2,0.6,1.6,2.1,0.051,-1.7,-0.3,-2.0,0.0,12.939848,3.181818181818182,0.9090909090909091,2.4242424242424243,1.6666666666666665,0.045454545454545456,6.9036,0.14473684210526316,0.07236842105263158,40.15748031496063,9.828947368421055,1.6923076923076923,5.222222222222222,22.3030303030303
Malachi Flynn,PG,24,TOR,53,2,13.0,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,8.7,0.479,0.55,0.136,2.3,10.8,6.2,13.7,1.5,0.6,8.9,17.4,0.0,0.5,0.5,0.034,-3.3,-0.8,-4.1,-0.4,2.14572,0.9433962264150944,0.0,0.9433962264150944,2.6,0.0,8.334599999999998,0.13076923076923078,0.0923076923076923,35.21126760563381,12.738461538461538,2.4,5.0,8.20754716981132
Simone Fontecchio,SF,27,UTA,52,6,14.7,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,8.0,0.495,0.612,0.141,4.4,7.7,6.1,7.5,0.9,0.9,10.5,20.2,-0.4,0.3,-0.1,-0.004,-3.0,-2.1,-5.2,-0.6,3.205128,-0.19230769230769232,-0.7692307692307693,0.5769230769230769,1.0,-0.019801980198019802,9.998999999999999,0.108843537414966,0.0816326530612245,38.14432989690722,15.42857142857143,2.4,4.25,4.615384615384615
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,6.2,0.497,0.554,0.181,1.7,4.5,3.1,8.2,1.2,0.7,11.8,16.2,-0.2,0.2,0.0,0.0,-4.8,-1.5,-6.3,-0.3,1.83609,0.0,-0.8,0.8,1.4,-0.01234567901234568,8.0514,0.07476635514018692,0.08411214953271029,35.294117647058826,12.112149532710282,2.25,3.5999999999999996,4.960000000000001
Trent Forrest,PG,24,ATL,23,3,12.0,1.1,2.6,0.417,0.0,0.1,0.0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,6.1,0.424,0.033,0.05,2.0,12.8,7.3,16.5,1.2,0.6,19.7,11.6,-0.2,0.2,-0.1,-0.011,-5.4,0.2,-5.2,-0.2,0.508891,-0.43478260869565216,-0.8695652173913043,0.8695652173913043,2.428571428571429,-0.017241379310344827,4.9184,0.15,0.05833333333333333,3.7037037037037033,6.8999999999999995,1.7499999999999998,1.5714285714285716,5.304347826086956
Evan Fournier,SG,30,NYK,27,7,17.0,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.443,0.7,0.8,0.857,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,6.9,0.471,0.687,0.127,1.0,10.8,5.9,10.6,1.7,0.6,11.2,18.4,-0.3,0.4,0.1,0.01,-4.0,0.0,-4.0,-0.2,18.0,0.3703703703703704,-1.1111111111111112,1.4814814814814816,1.625,-0.016304347826086956,8.6664,0.1411764705882353,0.09999999999999999,40.77669902912621,12.91764705882353,2.428571428571429,4.25,10.222222222222223
De'Aaron Fox,PG,25,SAC,73,73,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,21.8,0.599,0.276,0.331,1.9,12.4,7.2,29.6,1.6,0.8,10.6,30.1,5.5,1.8,7.4,0.146,3.4,-0.9,2.5,2.7,30.35178,10.136986301369863,7.534246575342466,2.4657534246575343,2.44,0.18272425249169436,18.0299,0.14970059880239522,0.0718562874251497,21.551724137931036,26.94610778443114,1.714285714285714,4.36,53.753424657534254
Markelle Fultz,PG,24,ORL,60,60,29.6,5.8,11.3,0.514,0.5,1.5,0.31,5.4,9.9,0.544,0.534,1.9,2.4,0.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,16.6,0.564,0.128,0.211,4.4,10.5,7.4,29.8,2.4,1.4,15.8,21.3,1.7,2.0,3.7,0.1,-0.1,0.7,0.5,1.2,16.5,6.166666666666667,2.833333333333333,3.3333333333333335,2.4782608695652177,0.07981220657276995,12.0132,0.15878378378378374,0.07432432432432433,11.71875,17.027027027027028,1.1578947368421053,2.739130434782609,55.33333333333334
Wenyen Gabriel,PF,25,LAL,68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,14.4,0.626,0.138,0.323,12.6,17.2,15.0,4.8,1.2,2.9,13.4,14.1,1.5,1.3,2.8,0.132,-2.3,0.1,-2.2,-0.1,1.87872,4.117647058823529,2.2058823529411766,1.911764705882353,0.7142857142857143,0.10638297872340426,8.8266,0.2251655629139073,0.13907284768211922,11.627906976744185,13.112582781456954,2.3333333333333335,3.428571428571429,27.529411764705884
Daniel Gafford,C,24,WAS,78,47,20.6,3.7,5.1,0.732,0.0,0.0,0.15,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,19.7,0.739,0.0,0.473,11.7,18.0,15.0,7.5,1.0,5.2,15.1,15.2,4.2,1.9,6.1,0.184,0.4,0.6,1.0,1.2,1.930681,7.82051282051282,5.384615384615385,2.435897435897436,1.0,0.27631578947368424,11.2328,0.2524271844660194,0.11650485436893203,0.0,15.728155339805824,1.4117647058823528,3.3636363636363633,47.98717948717949
Darius Garland,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,8.920795,11.014492753623188,6.521739130434782,4.3478260869565215,2.689655172413793,0.16728624535315986,15.790299999999998,0.10140845070422534,0.05915492957746479,26.785714285714285,21.90422535211268,1.6153846153846154,3.4482758620689657,81.73913043478261
Usman Garuba,PF,20,HOU,75,1,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,12.9,0.569,0.333,0.266,13.4,21.4,17.4,8.8,2.2,2.9,19.2,10.5,0.9,0.9,1.8,0.091,-2.0,0.6,-1.4,0.2,2.47116,2.4,1.2,1.2,1.5,0.08571428571428572,5.974499999999999,0.2713178294573643,0.13953488372093023,25.0,8.372093023255815,1.8,2.3333333333333335,15.48
Luka Garza,C,24,MIN,28,0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,0.603,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,23.0,0.652,0.336,0.448,15.5,13.5,14.5,11.8,0.6,0.7,9.2,26.9,0.9,0.2,1.1,0.211,2.2,-2.6,-0.4,0.1,0.508891,3.9285714285714293,3.214285714285715,0.7142857142857143,1.2,0.033457249070631974,17.5388,0.14942528735632185,0.1724137931034483,25.454545454545453,26.896551724137936,7.5,5.6,16.42857142857143
Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2,9.0,0.475,0.453,0.171,4.4,17.0,10.8,9.4,1.1,1.9,10.7,17.7,-0.4,0.7,0.3,0.018,-3.6,-0.4,-4.0,-0.4,6.1845,0.5357142857142857,-0.7142857142857143,1.25,1.4285714285714286,-0.02259887005649718,8.407499999999999,0.19863013698630136,0.0821917808219178,31.08108108108108,12.82191780821918,2.0,3.5714285714285716,11.25
Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,19.6,0.588,0.424,0.293,2.6,17.0,9.9,24.2,2.1,0.9,13.4,29.5,2.3,2.3,4.6,0.114,2.4,0.3,2.8,2.3,42.492492,8.214285714285714,4.107142857142857,4.107142857142857,1.6451612903225805,0.07796610169491525,17.346,0.20809248554913293,0.08092485549132947,29.80392156862745,24.763005780346823,1.4736842105263157,3.5483870967741935,80.5
Taj Gibson,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,11.4,0.585,0.192,0.336,7.7,13.6,10.8,9.6,1.5,2.1,15.3,15.3,0.4,0.5,0.8,0.082,-3.6,0.5,-3.2,-0.1,1.83609,1.6326530612244898,0.8163265306122449,1.0204081632653061,1.4,0.026143790849673203,8.9505,0.173469387755102,0.173469387755102,16.129032258064516,12.489795918367346,3.4,3.0,11.63265306122449
Josh Giddey,SG,20,OKC,76,76,31.1,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,0.516,1.4,1.9,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,17.1,0.533,0.209,0.13,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,4.0,0.081,1.5,-0.3,1.1,1.9,6.2874,5.263157894736842,1.710526315789474,3.552631578947368,2.2142857142857144,0.05284552845528455,13.111800000000002,0.2282958199356913,0.06109324758842443,17.415730337078653,19.215434083601288,1.583333333333333,2.892857142857143,60.75
Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,11.4,0.226,5.8,1.5,7.3,5.6,30.91375,16.764705882352942,12.352941176470589,4.411764705882353,1.9642857142857144,0.25609756097560976,20.532799999999998,0.18591549295774648,0.07887323943661971,10.964912280701753,31.842253521126757,1.0769230769230769,4.0357142857142865,120.0
Anthony Gill,PF,30,WAS,59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.553,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,11.1,0.604,0.22,0.508,6.9,10.7,8.8,7.2,0.5,1.6,8.5,12.3,1.0,0.4,1.3,0.101,-2.4,-0.9,-3.3,-0.2,1.83609,2.2033898305084745,1.694915254237288,0.6779661016949153,2.0,0.08130081300813008,7.4292,0.13207547169811323,0.11320754716981132,18.51851851851852,11.20754716981132,3.999999999999999,4.333333333333334,7.52542372881356
Rudy Gobert,C,30,MIN,70,70,30.7,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,0.659,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4,18.9,0.675,0.005,0.623,12.2,29.8,21.2,5.6,1.2,3.9,14.9,16.3,4.3,3.5,7.8,0.174,0.0,0.6,0.7,1.4,38.172414,11.142857142857142,6.142857142857142,5.0,0.7058823529411765,0.26380368098159507,11.002500000000001,0.34201954397394135,0.09771986970684039,0.0,15.713355048859937,1.3636363636363635,3.0,94.5
Jordan Goodwin,PG,24,WAS,62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.501,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,14.8,0.531,0.334,0.195,6.0,14.3,10.3,20.8,2.6,2.0,12.9,17.3,0.9,1.3,2.2,0.097,-0.7,1.4,0.7,0.8,0.9,3.5483870967741935,1.4516129032258065,2.0967741935483875,3.0,0.05202312138728324,9.186300000000001,0.20786516853932585,0.08426966292134831,25.0,13.348314606741571,1.1538461538461537,3.4444444444444446,31.032258064516135
Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,19.690909,10.0,6.764705882352941,3.2352941176470593,2.142857142857143,0.21800947867298576,13.0187,0.18874172185430463,0.06291390728476821,18.248175182481752,19.43046357615894,1.1874999999999998,5.142857142857143,63.08823529411766
Eric Gordon,SG,34,TOT,69,58,28.5,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,0.547,2.1,2.5,0.821,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4,11.8,0.587,0.545,0.265,0.9,6.7,3.8,13.4,1.1,1.2,12.5,17.8,1.8,0.5,2.3,0.056,-0.5,-1.4,-1.9,0.1,19.56836,3.3333333333333335,2.608695652173913,0.7246376811594203,1.8,0.10112359550561797,10.448599999999999,0.09473684210526316,0.03859649122807018,35.374149659863946,15.663157894736843,1.1,4.066666666666666,8.55072463768116
Devonte' Graham,PG,27,TOT,73,8,18.3,2.2,5.9,0.374,1.6,4.6,0.352,0.6,1.3,0.452,0.512,1.3,1.8,0.748,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4,12.5,0.552,0.784,0.304,1.6,8.7,5.1,19.4,1.6,1.1,9.8,17.1,1.5,1.0,2.5,0.091,0.1,-0.2,-0.1,0.6,11.55,3.4246575342465753,2.054794520547945,1.36986301369863,3.8571428571428577,0.08771929824561403,9.439200000000001,0.12021857923497269,0.06010928961748634,43.8095238095238,14.557377049180328,1.375,5.42857142857143,17.123287671232877
Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,16.0,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1.0,4.1,0.087,1.3,-1.4,-0.2,1.0,20.955,6.507936507936507,4.920634920634921,1.5873015873015872,1.3333333333333333,0.13596491228070176,13.8168,0.1484593837535014,0.06722689075630252,28.21782178217822,20.672268907563023,1.4999999999999998,5.111111111111111,25.396825396825395
A.J. Green,SG,23,MIL,35,1,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,0.508891,2.2857142857142856,1.4285714285714286,0.8571428571428572,2.0,0.03012048192771084,10.0762,0.13131313131313133,0.09090909090909091,45.45454545454546,16.0,4.5,9.333333333333334,9.857142857142858
Draymond Green,PF,32,GSW,73,73,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1.0,0.8,2.8,3.1,8.5,12.2,0.592,0.276,0.228,3.2,21.6,12.6,27.8,1.5,2.3,28.1,13.2,1.6,3.1,4.7,0.098,-1.8,2.6,0.8,1.6,25.806468,6.438356164383562,2.191780821917808,4.2465753424657535,2.428571428571429,0.12121212121212123,7.814399999999999,0.2571428571428571,0.09841269841269841,21.686746987951803,9.714285714285714,1.7222222222222223,1.392857142857143,51.80821917808219
Jalen Green,SG,20,HOU,76,76,34.2,7.4,17.9,0.417,2.5,7.3,0.338,5.0,10.6,0.471,0.486,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,14.6,0.539,0.408,0.341,1.8,10.3,6.0,17.3,1.1,0.7,11.4,28.1,1.4,0.5,1.9,0.034,0.5,-2.6,-2.1,0.0,9.44184,2.5,1.8421052631578945,0.6578947368421052,1.4230769230769231,0.049822064056939494,15.145900000000001,0.12280701754385964,0.049707602339181284,28.968253968253972,23.26315789473684,1.7,3.8076923076923075,9.605263157894736
JaMychal Green,PF,32,GSW,57,1,14.0,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,15.5,0.65,0.44,0.266,10.1,18.0,14.1,8.9,1.5,2.5,15.6,17.5,1.2,1.0,2.2,0.133,-0.7,0.2,-0.5,0.3,10.03609,3.8596491228070176,2.1052631578947367,1.7543859649122806,1.0,0.06857142857142857,11.375,0.2214285714285714,0.1285714285714286,30.15873015873015,16.45714285714286,2.25,3.4444444444444438,27.19298245614035
Javonte Green,SG,29,CHI,32,1,15.0,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.625,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2,14.5,0.646,0.324,0.417,6.5,14.2,10.4,6.4,2.4,4.2,13.5,13.6,0.6,0.8,1.4,0.142,-1.1,2.6,1.4,0.4,1.815677,4.375,1.875,2.5,1.1666666666666667,0.04411764705882353,8.7856,0.22666666666666666,0.10666666666666667,24.444444444444446,12.48,1.0666666666666667,3.833333333333333,36.25
Jeff Green,PF,36,DEN,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,11.0,0.576,0.317,0.357,4.1,10.9,7.6,8.3,0.8,1.4,10.8,17.0,0.8,0.8,1.7,0.074,-2.4,-1.0,-3.4,-0.4,4.5,3.0357142857142856,1.4285714285714286,1.4285714285714286,1.4999999999999998,0.047058823529411764,9.792,0.1282051282051282,0.09230769230769231,24.358974358974354,14.399999999999999,3.0,4.25,15.714285714285715
Josh Green,SG,22,DAL,60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,0.626,1.1,1.6,0.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1,11.2,0.645,0.442,0.246,4.1,9.7,6.9,9.7,1.4,0.3,14.5,14.6,1.7,0.9,2.6,0.082,-1.9,-0.6,-2.4,-0.2,3.0984,4.333333333333334,2.833333333333333,1.5000000000000002,1.4166666666666667,0.11643835616438356,9.417,0.11284046692607004,0.10116731517509728,30.434782608695656,12.747081712062258,3.2500000000000004,3.75,16.8
AJ Griffin,SF,19,ATL,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,3.53616,3.055555555555556,1.8055555555555558,1.25,1.6666666666666667,0.07262569832402235,10.328299999999999,0.1230769230769231,0.061538461538461535,32.72727272727273,16.430769230769233,1.4999999999999998,8.0,15.75
Blake Griffin,C,33,BOS,41,16,13.9,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,0.573,0.5,0.8,0.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,13.1,0.59,0.508,0.246,9.2,20.4,14.9,14.2,1.2,1.4,13.2,12.7,1.0,0.8,1.8,0.153,-1.4,1.5,0.1,0.3,1.83609,4.390243902439025,2.4390243902439024,1.951219512195122,3.0,0.07874015748031496,7.492999999999999,0.22302158273381295,0.12949640287769784,33.33333333333333,10.618705035971221,3.6,4.2,25.560975609756095
Quentin Grimes,SG,22,NYK,71,66,29.9,4.0,8.5,0.468,2.2,5.7,0.386,1.8,2.7,0.641,0.599,1.1,1.4,0.796,0.7,2.5,3.2,2.1,0.7,0.4,1.0,2.5,11.3,11.7,0.619,0.676,0.163,2.5,9.4,5.9,9.7,1.1,1.2,9.7,14.4,3.2,1.6,4.8,0.108,-0.3,0.1,-0.1,1.0,2.277,6.760563380281689,4.507042253521127,2.2535211267605635,2.1,0.22222222222222224,8.9136,0.12040133779264214,0.08361204013377926,40.140845070422536,13.605351170568563,2.2727272727272725,6.2,26.366197183098592
Rui Hachimura,PF,24,TOT,63,9,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,13.2,0.556,0.274,0.204,4.1,16.5,10.5,5.8,0.6,1.5,7.7,20.2,0.6,1.3,1.8,0.06,-1.3,-1.0,-2.2,-0.1,6.263188,2.857142857142857,0.9523809523809523,2.0634920634920633,1.125,0.0297029702970297,11.231200000000001,0.1888412017167382,0.04721030042918455,21.1864406779661,17.304721030042916,1.5714285714285716,6.624999999999999,27.238095238095234
Tyrese Haliburton,PG,22,IND,56,56,33.6,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,23.6,0.624,0.478,0.239,1.9,10.1,6.0,47.6,2.3,1.1,13.2,23.8,6.4,1.2,7.6,0.195,7.0,0.2,7.2,4.4,4.21512,13.571428571428571,11.428571428571429,2.142857142857143,4.16,0.2689075630252101,14.8512,0.15178571428571427,0.03571428571428571,32.432432432432435,22.178571428571427,0.6,4.12,50.57142857142858
