Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
24,Patrick Baldwin Jr.,SF,20,GSW,31,226,11.3,.546,.771,.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,,-0.1,0.3,0.1,.029,,-0.7,-1.4,-2.1,0.0,baldwpa01
25,LaMelo Ball,PG,21,CHO,36,1268,17.9,.541,.531,.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,,0.6,1.2,1.8,.068,,3.2,-0.8,2.4,1.4,ballla01
26,Mo Bamba,C,24,TOT,49,769,15.7,.602,.515,.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,,1.1,1.1,2.2,.139,,-0.2,0.7,0.5,0.5,bambamo01
27,Mo Bamba,C,24,ORL,40,681,16.3,.613,.505,.238,7.8,22.8,15.3,9.0,0.9,5.4,8.5,16.3,,1.2,0.9,2.1,.150,,0.4,0.9,1.3,0.6,bambamo01
28,Mo Bamba,C,24,LAL,9,88,11.4,.518,.593,.407,13.9,35.3,24.9,6.0,0.5,4.8,20.1,19.1,,-0.1,0.2,0.1,.054,,-5.3,-0.2,-5.5,-0.1,bambamo01
29,Paolo Banchero,PF,20,ORL,72,2430,14.9,.529,.254,.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,,-0.3,2.6,2.4,.047,,-0.7,-0.7,-1.5,0.3,banchpa01
30,Desmond Bane,SG,24,MEM,58,1841,19.1,.606,.433,.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,,3.5,2.3,5.8,.151,,3.3,0.1,3.5,2.5,banede01
31,Dalano Banton,PG,23,TOR,31,279,14.9,.505,.392,.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,,0.0,0.4,0.4,.064,,-1.1,0.6,-0.5,0.1,bantoda01
32,Dominick Barlow,SF,19,SAS,28,408,12.4,.567,.047,.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,,0.5,0.2,0.7,.082,,-3.7,-0.8,-4.5,-0.3,barlodo01
33,Harrison Barnes,PF,30,SAC,82,2662,14.1,.632,.446,.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,,5.1,1.4,6.5,.118,,0.5,-1.5,-1.0,0.7,barneha02
34,Scottie Barnes,PF,21,TOR,77,2678,15.5,.524,.220,.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,,2.3,2.7,5.0,.090,,0.5,-0.1,0.4,1.6,barnesc01
35,RJ Barrett,SG,22,NYK,73,2475,12.9,.531,.332,.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,,0.5,1.8,2.2,.043,,-1.2,-1.9,-3.1,-0.7,barrerj01
36,Will Barton,SG,32,TOT,56,993,10.0,.493,.495,.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,,-0.4,0.8,0.4,.021,,-2.0,-0.6,-2.6,-0.2,bartowi01
37,Will Barton,SG,32,WAS,40,782,10.0,.504,.484,.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,,-0.4,0.6,0.2,.013,,-1.7,-0.9,-2.7,-0.1,bartowi01
38,Will Barton,SG,32,TOR,16,211,9.9,.451,.532,.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,,0.0,0.2,0.2,.051,,-2.9,0.5,-2.5,0.0,bartowi01
39,Charles Bassey,C,22,SAS,35,508,18.8,.658,.059,.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,,0.7,0.6,1.3,.122,,-0.7,1.3,0.6,0.3,bassech01
40,Keita Bates-Diop,SF,27,SAS,67,1452,14.9,.609,.305,.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,,2.1,0.6,2.7,.089,,0.3,-0.9,-0.6,0.5,bateske01
41,Nicolas Batum,PF,34,LAC,78,1709,11.0,.594,.832,.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,,1.7,1.9,3.6,.101,,-0.8,1.2,0.5,1.0,batumni01
42,Darius Bazley,PF,22,TOT,43,616,13.1,.524,.290,.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,,0.1,0.9,1.0,.078,,-2.0,1.0,-0.9,0.2,bazleda01
43,Darius Bazley,PF,22,OKC,36,555,12.9,.525,.285,.411,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,,0.1,0.8,0.9,.079,,-1.8,0.8,-1.0,0.1,bazleda01
44,Darius Bazley,PF,22,PHO,7,61,15.5,.515,.320,.200,8.9,20.4,14.5,14.5,2.4,7.3,15.5,22.5,,0.0,0.1,0.1,.066,,-3.4,3.3,-0.1,0.0,bazleda01
45,Bradley Beal,SG,29,WAS,50,1673,19.7,.593,.249,.260,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,,2.2,1.2,3.4,.099,,2.9,-1.2,1.8,1.6,bealbr01
46,Malik Beasley,SG,26,TOT,81,2093,10.9,.531,.702,.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,,-0.2,1.6,1.4,.032,,-0.9,-1.0,-2.0,0.0,beaslma01
47,Malik Beasley,SG,26,UTA,55,1472,11.5,.535,.704,.066,2.0,12.3,7.2,9.0,1.4,0.5,8.0,21.2,,0.3,1.0,1.2,.040,,-0.4,-1.2,-1.6,0.2,beaslma01
48,Malik Beasley,SG,26,LAL,26,621,9.7,.521,.698,.078,1.4,13.0,7.4,7.0,1.6,0.1,9.8,20.9,,-0.5,0.6,0.2,.012,,-2.3,-0.6,-2.9,-0.1,beaslma01
49,MarJon Beauchamp,SF,22,MIL,52,701,8.2,.513,.584,.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,,-0.4,0.8,0.4,.027,,-4.1,-0.6,-4.8,-0.5,beaucma01
50,Dāvis Bertāns,PF,30,DAL,45,492,11.9,.618,.881,.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,,0.6,0.3,0.9,.090,,0.0,-1.3,-1.2,0.1,bertada01
51,Patrick Beverley,PG,34,TOT,67,1816,8.9,.534,.664,.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,,0.8,2.1,3.0,.079,,-2.9,1.7,-1.2,0.3,beverpa01
52,Patrick Beverley,PG,34,LAL,45,1211,8.3,.548,.656,.207,2.2,9.9,6.2,12.1,1.6,1.7,13.8,10.6,,0.5,1.3,1.8,.071,,-3.2,1.4,-1.8,0.1,beverpa01
53,Patrick Beverley,PG,34,CHI,22,605,10.1,.506,.681,.126,3.8,16.0,10.0,15.7,1.9,2.6,12.5,10.5,,0.3,0.9,1.2,.096,,-2.4,2.2,-0.2,0.3,beverpa01
54,Saddiq Bey,SF,23,TOT,77,2129,14.6,.564,.500,.285,5.0,14.0,9.4,8.1,1.6,0.5,7.0,20.2,,2.6,1.2,3.9,.087,,0.9,-1.2,-0.3,0.9,beysa01
55,Saddiq Bey,SF,23,DET,52,1500,14.3,.552,.483,.345,4.2,13.9,8.9,8.5,1.6,0.7,7.2,21.3,,1.5,0.8,2.3,.074,,0.5,-1.1,-0.7,0.5,beysa01
56,Saddiq Bey,SF,23,ATL,25,629,15.2,.599,.543,.126,6.7,14.3,10.4,7.2,1.5,0.1,6.5,17.4,,1.1,0.5,1.6,.119,,1.7,-1.2,0.5,0.4,beysa01
57,Khem Birch,C,30,TOR,20,162,9.4,.629,.063,.156,5.2,12.8,8.7,5.8,1.5,3.0,19.0,11.1,,0.1,0.2,0.2,.072,,-4.6,1.1,-3.5,-0.1,birchkh01
58,Goga Bitadze,C,23,TOT,38,457,17.1,.582,.208,.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,,0.8,0.6,1.3,.141,,-0.8,1.1,0.3,0.3,bitadgo01
59,Goga Bitadze,C,23,IND,21,202,13.9,.551,.269,.462,13.8,13.2,13.5,12.1,2.1,4.3,16.1,15.5,,0.2,0.2,0.4,.087,,-2.3,1.2,-1.1,0.0,bitadgo01
60,Goga Bitadze,C,23,ORL,17,255,19.7,.606,.164,.247,15.9,23.1,19.5,12.2,1.3,6.1,11.0,15.3,,0.6,0.4,1.0,.184,,0.4,1.0,1.3,0.2,bitadgo01
61,Bismack Biyombo,C,30,PHO,61,874,14.4,.555,.000,.340,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,,0.2,1.6,1.9,.102,,-3.4,2.5,-0.9,0.2,biyombi01
62,Buddy Boeheim,PG,23,DET,10,90,0.5,.287,.926,.074,2.4,5.1,3.7,5.8,1.1,0.0,0.0,13.2,,-0.2,0.0,-0.2,-0.091,,-8.1,-1.7,-9.9,-0.2,boehebu01
63,Bogdan Bogdanović,SG,30,ATL,54,1508,14.2,.586,.589,.126,1.6,10.4,6.0,13.4,1.4,1.0,9.2,19.8,,1.8,1.0,2.8,.088,,1.1,-0.7,0.5,0.9,bogdabo01
64,Bojan Bogdanović,PF,33,DET,59,1893,17.4,.627,.400,.344,2.0,11.3,6.5,13.6,0.9,0.4,11.7,25.9,,3.1,0.4,3.5,.090,,2.6,-1.8,0.9,1.4,bogdabo02
65,Bol Bol,PF,23,ORL,70,1505,14.4,.603,.236,.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,,0.0,2.2,2.3,.072,,-1.8,0.9,-0.9,0.4,bolbo01
66,Leandro Bolmaro,SG,22,UTA,14,68,-5.0,.150,.200,.000,6.5,4.7,5.6,12.3,2.1,1.2,25.9,16.6,,-0.4,0.0,-0.3,-0.231,,-12.6,-2.3,-14.9,-0.2,bolmale01
67,Devin Booker,SG,26,PHO,53,1835,22.0,.601,.296,.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,,4.1,1.9,6.0,.157,,4.5,-0.3,4.2,2.9,bookede01
68,Brandon Boston Jr.,SG,21,LAC,22,248,13.4,.515,.238,.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,,0.0,0.2,0.2,.040,,-1.7,-0.6,-2.3,0.0,bostobr01
69,Chris Boucher,PF,30,TOR,76,1523,18.0,.590,.357,.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,,3.0,2.0,5.0,.156,,0.7,-0.8,-0.1,0.7,bouchch01
70,James Bouknight,SG,22,CHO,34,515,6.2,.463,.565,.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,,-0.8,0.4,-0.4,-0.040,,-5.4,-1.1,-6.5,-0.6,bouknja01
71,Jamaree Bouyea,PG,23,TOT,5,71,6.5,.504,.429,.143,1.6,8.4,4.9,7.8,2.8,2.9,21.2,11.8,,-0.1,0.1,0.0,.013,,-5.8,1.6,-4.2,0.0,bouyeja01
72,Jamaree Bouyea,PG,23,MIA,4,65,7.8,.540,.385,.154,1.7,7.5,4.5,8.6,3.1,3.1,22.4,12.2,,-0.1,0.1,0.0,.029,,-4.9,1.9,-2.9,0.0,bouyeja01
73,Jamaree Bouyea,PG,23,WAS,1,6,-6.9,.000,1.000,.000,0.0,17.9,9.3,0.0,0.0,0.0,0.0,7.2,,0.0,0.0,0.0,-0.150,,-16.1,-1.7,-17.8,0.0,bouyeja01
74,Tony Bradley,C,25,CHI,12,33,21.7,.690,.417,.333,3.5,33.8,18.9,4.4,1.5,2.9,6.8,19.8,,0.1,0.1,0.2,.220,,4.4,0.5,4.9,0.1,bradlto01
75,Malaki Branham,SF,19,SAS,66,1550,9.5,.524,.417,.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,,-0.4,0.2,-0.1,-0.004,,-3.0,-2.1,-5.2,-1.2,branhma01
76,Jarrell Brantley,PF,26,UTA,4,39,18.5,.739,.643,.143,2.8,13.7,8.3,11.4,0.0,4.3,11.8,18.1,,0.1,0.0,0.1,.160,,3.1,0.4,3.5,0.1,brantja01
77,Christian Braun,SG,21,DEN,76,1181,10.3,.568,.332,.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,,0.7,1.2,1.9,.079,,-2.5,0.1,-2.4,-0.1,braunch01
78,Mikal Bridges,SF,26,TOT,83,2963,16.8,.587,.349,.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,,4.4,3.1,7.5,.121,,1.6,0.2,1.7,2.8,bridgmi01
79,Mikal Bridges,SF,26,PHO,56,2040,14.8,.574,.342,.228,3.0,10.4,6.6,14.1,1.6,2.0,8.5,19.2,,2.7,2.2,4.9,.116,,0.4,0.6,1.0,1.6,bridgmi01
80,Mikal Bridges,SF,26,BRK,27,923,21.3,.607,.360,.356,2.9,11.7,7.4,12.9,1.4,1.5,7.8,30.3,,1.7,0.8,2.5,.133,,4.1,-0.8,3.3,1.2,bridgmi01
81,Oshae Brissett,SF,24,IND,65,1083,10.6,.520,.486,.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,,0.4,0.7,1.1,.050,,-2.0,-1.2,-3.2,-0.3,brissos01
