Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
428,Dennis Smith Jr.,PG,25,CHO,40,12,25.1,3.5,8,0.433,0.4,1.9,0.221,3,6.1,0.5,0.459,1.2,1.6,0.754,0.4,2.3,2.7,4.4,1.4,0.4,1.6,2.2,8.6
429,Dru Smith,SG,25,TOT,8,1,12.1,1.3,2.9,0.435,0.3,1.3,0.2,1,1.6,0.615,0.478,0,0,,0.1,1.8,1.9,1.3,1,0.4,0.3,1.6,2.8
429,Dru Smith,SG,25,MIA,5,1,13.4,1,2.8,0.357,0.2,1.2,0.167,0.8,1.6,0.5,0.393,0,0,,0.2,1.6,1.8,1,0.8,0.6,0.2,2,2.2
429,Dru Smith,SG,25,BRK,3,0,10,1.7,3,0.556,0.3,1.3,0.25,1.3,1.7,0.8,0.611,0,0,,0,2,2,1.7,1.3,0,0.3,1,3.7
430,Ish Smith,PG,34,DEN,31,0,10.2,1.4,3.2,0.424,0.1,0.2,0.333,1.3,3,0.43,0.434,0,0.1,0.5,0.1,1.3,1.4,2.4,0.2,0.2,1.2,0.9,2.8
431,Jabari Smith Jr.,PF,19,HOU,57,57,30.1,4.2,10.9,0.384,1.6,5.3,0.297,2.6,5.7,0.464,0.455,2,2.6,0.788,1.3,5.8,7.1,1.2,0.5,1,1.5,2.9,12
432,Jalen Smith,PF,22,IND,52,28,18.2,3.4,7.4,0.46,0.8,2.9,0.276,2.6,4.4,0.58,0.514,1.5,1.9,0.76,1.8,3.8,5.6,0.9,0.3,0.8,1.1,2.1,9
433,Jeremy Sochan,PF,19,SAS,49,46,26,4.1,9.2,0.448,0.6,2.3,0.261,3.6,7,0.509,0.48,1.3,1.9,0.695,1.7,3.2,4.9,2.5,0.7,0.4,1.7,2.5,10.2
434,Jaden Springer,SG,20,PHI,7,0,3.7,1,1.7,0.583,0,0,,1,1.7,0.583,0.583,0.4,0.6,0.75,0.6,0.4,1,0.1,0.3,0.3,0.1,1,2.4
435,Lamar Stevens,PF,25,CLE,45,18,17.4,2,4.4,0.457,0.4,1.5,0.303,1.6,3,0.534,0.508,0.6,0.9,0.718,0.6,2.4,3,0.6,0.4,0.3,0.5,1.2,5.1
436,Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3
437,Max Strus,SF,26,MIA,59,27,29.9,4.3,10.8,0.398,2.5,7.5,0.335,1.8,3.2,0.547,0.516,1.2,1.3,0.872,0.7,2.9,3.6,2.2,0.6,0.2,1,2.1,12.3
438,Jalen Suggs,PG,21,ORL,36,14,23,3.3,8,0.417,1.1,3.7,0.306,2.2,4.3,0.513,0.488,1.6,2.2,0.7,0.9,1.9,2.8,3.3,1.2,0.5,1.9,2.3,9.4
439,Edmond Sumner,SG,27,BRK,46,12,14.5,2.5,5.3,0.459,0.6,1.8,0.346,1.8,3.6,0.515,0.516,1.9,2.1,0.926,0.2,1.3,1.6,1.4,0.7,0.2,1,1.7,7.4
440,Cole Swider,SF,23,LAL,6,0,6.7,0.5,1.5,0.333,0.5,1.3,0.375,0,0.2,0,0.5,0,0,,0.2,1,1.2,0.7,0,0,0,0.5,1.5
441,Jae'Sean Tate,SF,27,HOU,22,7,21.5,3.4,7.2,0.468,0.4,1.4,0.29,3,5.8,0.512,0.497,1.3,1.9,0.667,1.5,2.2,3.7,2.6,0.6,0.2,1.6,3.3,8.4
442,Jayson Tatum,PF,24,BOS,57,57,37.4,9.9,21.4,0.461,3.3,9.3,0.355,6.6,12.1,0.544,0.539,7.4,8.5,0.864,1.1,7.6,8.7,4.6,1,0.8,2.9,2.1,30.4
443,Terry Taylor,PF,23,TOT,27,2,8.6,1.2,2.5,0.478,0.1,0.7,0.222,1,1.8,0.571,0.507,0.2,0.3,0.714,0.8,0.6,1.4,0.4,0.1,0.2,0.3,0.9,2.7
443,Terry Taylor,PF,23,IND,26,2,8.8,1.2,2.5,0.462,0.2,0.7,0.222,1,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7
443,Terry Taylor,PF,23,CHI,1,0,4,2,2,1,0,0,,2,2,1,1,0,0,,0,0,0,0,0,0,0,1,4
444,Garrett Temple,SG,36,NOP,19,0,7,0.8,1.9,0.405,0.5,1.1,0.429,0.3,0.8,0.375,0.527,0.2,0.2,0.75,0.1,0.5,0.6,0.5,0.5,0.1,0.2,0.7,2.2
445,Dalen Terry,SG,20,CHI,25,0,5.1,0.7,1.6,0.45,0.2,0.6,0.333,0.5,1,0.52,0.513,0.2,0.4,0.5,0.3,0.5,0.8,0.6,0.2,0.2,0.2,0.4,1.8
446,Daniel Theis,C,30,IND,7,1,15.6,3,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7
447,Cam Thomas,SG,21,BRK,43,3,17.2,3.7,8.1,0.454,0.9,2.3,0.412,2.8,5.9,0.47,0.511,3,3.6,0.85,0.2,1.5,1.7,1.6,0.4,0.1,1,1,11.3
448,Klay Thompson,SG,32,GSW,49,49,32.7,7.9,18.4,0.428,4.4,10.8,0.408,3.5,7.7,0.456,0.548,1.9,2.1,0.892,0.7,3.3,3.9,2.4,0.7,0.3,1.7,2,22.1
449,JT Thor,PF,20,CHO,49,1,11,0.9,2.5,0.361,0.3,1.2,0.246,0.6,1.2,0.475,0.422,0.4,0.6,0.621,0.5,1.2,1.7,0.4,0.2,0.2,0.4,0.8,2.5
450,Matisse Thybulle,SG,25,TOT,53,10,13.4,1.2,2.6,0.436,0.5,1.5,0.354,0.6,1.2,0.541,0.536,0.2,0.2,0.692,0.4,1,1.5,0.6,1,0.3,0.2,1.5,3
450,Matisse Thybulle,SG,25,PHI,49,6,12.1,1,2.4,0.431,0.4,1.3,0.333,0.6,1.1,0.547,0.522,0.2,0.2,0.75,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7
450,Matisse Thybulle,SG,25,POR,4,4,29.8,2.8,6,0.458,1.8,4,0.438,1,2,0.5,0.604,0,0.3,0,0.5,3,3.5,1.8,2.3,1,0.8,3.8,7.3
451,Xavier Tillman Sr.,PF,24,MEM,40,9,15.4,2.3,3.7,0.612,0.1,0.3,0.3,2.2,3.4,0.635,0.622,0.8,1.5,0.517,1.8,2.3,4.1,1.2,0.8,0.4,0.6,1.3,5.4
452,Isaiah Todd,PF,21,WAS,4,0,3.3,0.3,1,0.25,0,0.8,0,0.3,0.3,1,0.25,0,0,,0,0,0,0,0,0,0,0,0.5
453,Obi Toppin,PF,24,NYK,47,0,14.8,2.3,5.6,0.409,1.1,3.3,0.344,1.1,2.3,0.505,0.511,0.5,0.7,0.742,0.4,2.6,3,0.8,0.3,0.2,0.5,1,6.2
454,Juan Toscano-Anderson,SF,29,TOT,33,7,12.6,1.1,2.2,0.486,0.2,0.7,0.217,0.9,1.5,0.608,0.52,0.3,0.5,0.733,0.5,1.8,2.3,0.9,0.4,0.2,0.6,1.6,2.7
454,Juan Toscano-Anderson,SF,29,LAL,30,7,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2,0.8,0.3,0.2,0.6,1.5,2.7
454,Juan Toscano-Anderson,SF,29,UTA,3,0,16.7,1,2.7,0.375,0.3,1,0.333,0.7,1.7,0.4,0.438,0,0,,0.7,4.3,5,1.3,0.7,0.3,1,2,2.3
455,Karl-Anthony Towns,PF,27,MIN,21,21,33.8,7.3,14.4,0.505,1.8,5.6,0.325,5.5,8.9,0.618,0.568,4.4,5,0.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8
456,Gary Trent Jr.,SG,24,TOR,53,43,33.6,6.5,14.9,0.434,2.6,7.2,0.366,3.8,7.6,0.499,0.523,2.9,3.4,0.84,0.4,2.1,2.5,1.6,1.6,0.3,0.9,1.7,18.4
457,P.J. Tucker,PF,37,PHI,57,57,26.1,1.3,2.9,0.429,0.7,1.7,0.414,0.5,1.2,0.449,0.551,0.3,0.4,0.85,1.4,2.8,4.1,0.8,0.5,0.2,0.6,2.4,3.5
458,Myles Turner,C,26,IND,52,52,29.9,6.5,11.9,0.545,1.7,4.2,0.402,4.8,7.7,0.623,0.616,3.5,4.4,0.787,1.6,6.4,8,1.3,0.6,2.3,1.7,3.3,18.1
459,Stanley Umude,SG,23,DET,1,0,2,0,1,0,0,1,0,0,0,,0,2,2,1,0,0,0,0,1,1,0,0,2
460,Jonas Valan?i?nas,C,30,NOP,60,60,24.9,5.7,10.5,0.542,0.5,1.5,0.337,5.2,9,0.577,0.567,2.5,3,0.817,2.9,6.9,9.8,1.7,0.3,0.5,1.9,3.1,14.3
461,Jarred Vanderbilt,PF,23,TOT,57,44,24,3.4,5.9,0.567,0.4,1,0.339,3,4.9,0.615,0.596,1.3,1.9,0.676,2.4,5.6,7.9,2.7,1.1,0.3,1.3,2.5,8.3
461,Jarred Vanderbilt,PF,23,UTA,52,41,24.1,3.3,6,0.556,0.4,1.1,0.333,3,4.9,0.606,0.587,1.3,2,0.657,2.3,5.5,7.9,2.7,1,0.3,1.3,2.6,8.3
461,Jarred Vanderbilt,PF,23,LAL,5,3,22.4,3.6,5.2,0.692,0.2,0.4,0.5,3.4,4.8,0.708,0.712,1.2,1.2,1,3,5.8,8.8,2.4,1.6,0.2,1,1.8,8.6
462,Fred VanVleet,PG,28,TOR,50,50,36.9,6.4,16.3,0.394,3,8.7,0.344,3.4,7.6,0.451,0.486,3.8,4.3,0.893,0.5,3.8,4.3,6.6,1.6,0.6,1.9,2.9,19.7
463,Devin Vassell,SG,22,SAS,29,24,31.3,7.1,16,0.445,2.8,7,0.404,4.3,9,0.477,0.533,2.4,3,0.793,0.2,3.8,4,3.6,1.2,0.4,1.6,1.4,19.4
464,Gabe Vincent,PG,26,MIA,47,13,26.2,3.4,8.6,0.396,1.7,5.4,0.321,1.7,3.2,0.52,0.496,1.2,1.4,0.877,0.4,1.9,2.3,2.6,0.9,0.1,1.5,2.5,9.7
465,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
466,Nikola Vu?evi?,C,32,CHI,61,61,33.9,7.3,14.1,0.514,1.6,4.6,0.349,5.7,9.5,0.595,0.571,1.6,1.9,0.822,2.1,9.4,11.5,3.3,0.7,0.8,1.7,2.2,17.8
467,Dean Wade,PF,26,CLE,34,9,20.9,1.8,4.2,0.434,1.1,2.9,0.38,0.7,1.3,0.558,0.566,0.4,0.7,0.652,0.5,3.2,3.7,0.9,0.7,0.5,0.4,2.2,5.2
468,Franz Wagner,SF,21,ORL,60,60,33.2,6.9,14.2,0.486,1.7,4.5,0.368,5.2,9.7,0.542,0.545,3.5,4.2,0.833,0.9,3.1,4,3.5,0.9,0.2,2.1,2.3,19
469,Moritz Wagner,C,25,ORL,40,14,20.9,3.6,7.4,0.493,1,3.1,0.312,2.7,4.2,0.627,0.56,2.9,3.3,0.864,1.3,3.3,4.7,1.7,0.7,0.2,1.2,2.7,11.1
470,Ish Wainright,SF,28,PHO,44,1,15.5,1.5,3.8,0.389,1,2.8,0.344,0.5,1,0.524,0.518,0.5,0.6,0.84,0.8,1.3,2.2,1,0.8,0.3,0.4,2,4.4
471,Jabari Walker,SF,20,POR,40,0,9.1,1.1,2.4,0.443,0.1,0.7,0.192,1,1.8,0.535,0.469,0.5,0.7,0.724,0.8,1.2,2.1,0.5,0.1,0.2,0.4,1,2.8
472,Kemba Walker,PG,32,DAL,9,1,16,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8
473,Lonnie Walker IV,SG,24,LAL,44,32,25.9,4.7,10.3,0.454,1.7,4.7,0.369,2.9,5.6,0.524,0.538,1.8,2,0.885,0.3,1.8,2,1.3,0.6,0.3,0.9,1.4,12.8
474,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4
475,T.J. Warren,PF-SF,29,TOT,28,0,18,3.8,7.3,0.512,0.6,1.8,0.347,3.1,5.6,0.564,0.554,1,1.2,0.818,0.5,2.3,2.8,1,0.6,0.3,0.6,1.6,9.1
475,T.J. Warren,PF,29,BRK,26,0,18.8,3.9,7.7,0.51,0.6,1.8,0.333,3.3,5.8,0.566,0.55,1,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5
475,T.J. Warren,SF,29,PHO,2,0,7.5,1.5,2.5,0.6,0.5,0.5,1,1,2,0.5,0.7,0,0,,0.5,2,2.5,0,0.5,0,0,0.5,3.5
476,Duane Washington Jr.,SG,22,PHO,31,3,12.7,3,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2,0.2,0.1,1.1,0.7,7.9
477,P.J. Washington,PF,24,CHO,60,60,32.9,5.8,13,0.444,2,5.8,0.35,3.8,7.2,0.518,0.521,1.7,2.3,0.748,1,3.7,4.8,2.4,0.9,1.1,1.4,2.7,15.3
478,TyTy Washington Jr.,PG,21,HOU,25,2,14.3,1.9,5.3,0.361,0.6,2.5,0.222,1.4,2.8,0.486,0.414,0.4,0.6,0.625,0.1,1.4,1.5,1.6,0.5,0,0.4,1.1,4.8
479,Yuta Watanabe,SF,28,BRK,44,0,17.8,2.3,4.4,0.521,1.2,2.5,0.482,1.1,1.9,0.571,0.657,0.7,0.9,0.744,0.6,1.9,2.5,0.9,0.4,0.3,0.4,1.5,6.5
480,Lindy Waters III,SG,25,OKC,25,0,11.2,1.4,3.6,0.396,1.2,3.4,0.369,0.2,0.3,0.714,0.566,0.2,0.3,0.75,0.3,1.4,1.7,0.7,0.4,0.2,0.2,0.9,4.4
481,Trendon Watford,PF,22,POR,44,2,16.4,2.1,3.7,0.578,0.4,0.8,0.485,1.8,2.9,0.602,0.627,1.1,1.6,0.714,0.6,2.7,3.3,1.7,0.3,0.1,1,1.9,5.7
482,Peyton Watson,SG,20,DEN,13,0,3.2,0.8,1.4,0.556,0.2,0.2,0.667,0.6,1.2,0.533,0.611,0,0.2,0,0.2,0.4,0.6,0.1,0,0.1,0.2,0.2,1.7
483,Blake Wesley,SG,19,SAS,17,1,13.9,1.7,4.6,0.372,0.5,1.2,0.429,1.2,3.4,0.351,0.429,0.5,0.9,0.6,0.2,1.4,1.5,1.5,0.4,0.1,1.4,1.9,4.5
484,Russell Westbrook,PG,34,TOT,54,5,28.8,5.9,13.9,0.422,1.2,4.1,0.297,4.7,9.9,0.473,0.465,3,4.5,0.664,1.1,5,6.1,7.6,1.1,0.4,3.6,2.4,15.9
484,Russell Westbrook,PG,34,LAL,52,3,28.7,5.8,14,0.417,1.2,4.1,0.296,4.6,9.9,0.467,0.46,3,4.6,0.655,1.1,5,6.2,7.5,1,0.4,3.5,2.3,15.9
484,Russell Westbrook,PG,34,LAC,2,2,32.5,6.5,11.5,0.565,1,3,0.333,5.5,8.5,0.647,0.609,3,3,1,0.5,4.5,5,9,3,0,4.5,4.5,17
485,Coby White,SG,22,CHI,53,1,22.4,3.2,7.5,0.423,1.6,4.6,0.355,1.5,2.9,0.529,0.531,0.9,1,0.836,0.2,2.5,2.7,2,0.7,0.1,0.8,1.7,8.9
486,Derrick White,SG,28,BOS,61,51,27.6,4.1,9,0.457,1.8,4.7,0.391,2.3,4.3,0.528,0.558,1.9,2.2,0.859,0.6,2.7,3.3,3.8,0.7,0.9,1.1,2.2,12
487,Jack White,SF,25,DEN,15,0,3.1,0.5,1.1,0.438,0.2,0.5,0.375,0.3,0.5,0.5,0.531,0.1,0.2,0.667,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,1.3
488,Joe Wieskamp,SF,23,TOR,3,0,8,1,2.7,0.375,1,2.3,0.429,0,0.3,0,0.563,0,0,,0,0.7,0.7,0.3,0,0,0.3,0.3,3
489,Aaron Wiggins,SG,24,OKC,48,12,18.5,2.4,4.8,0.504,0.7,1.7,0.398,1.8,3.1,0.564,0.575,0.8,1,0.83,1,2.1,3.1,1.4,0.5,0.2,0.8,1.6,6.4
490,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1
491,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0
492,Grant Williams,PF,24,BOS,60,21,27.5,2.9,6.2,0.46,1.5,3.7,0.407,1.4,2.6,0.536,0.58,1.3,1.6,0.823,1.1,3.7,4.8,1.8,0.6,0.4,1.1,2.6,8.6
493,Jalen Williams,SG,21,OKC,56,43,29.2,5,9.8,0.509,0.9,2.7,0.325,4.1,7.1,0.58,0.554,1.6,2,0.763,1,3.2,4.2,2.9,1.3,0.5,1.6,2.6,12.4
494,Jaylin Williams,PF,20,OKC,28,15,16.4,2.1,4.4,0.472,0.9,1.8,0.48,1.2,2.6,0.466,0.569,0.6,1,0.667,0.8,3.8,4.6,1.5,0.4,0.2,0.7,1.9,5.6
495,Kenrich Williams,PF,28,OKC,52,10,22.6,3.3,6.5,0.516,1,2.5,0.379,2.4,3.9,0.605,0.591,0.3,0.7,0.432,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8
496,Mark Williams,C,21,CHO,31,6,16.3,3.2,5,0.645,0,0,,3.2,5,0.645,0.645,1.5,2,0.73,1.9,4.2,6.1,0.3,0.7,1.2,0.7,2.2,7.9
497,Patrick Williams,PF,21,CHI,61,58,28.9,3.8,8.3,0.46,1.4,3.4,0.405,2.4,4.9,0.5,0.544,1.1,1.3,0.863,1,3.4,4.4,1.4,0.8,0.8,1.3,1.9,10.2
498,Robert Williams,C,25,BOS,25,15,24,4,5.3,0.75,0,0,0,4,5.2,0.756,0.75,0.6,0.9,0.652,3.2,5.5,8.7,1.6,0.5,1.1,0.9,1.8,8.5
499,Vince Williams Jr.,SG,22,MEM,9,0,5.4,0.3,1.4,0.231,0.1,1,0.111,0.2,0.4,0.5,0.269,0,0,,0.2,0.6,0.8,0.3,0.4,0.1,0.1,0.7,0.8
500,Ziaire Williams,SF,21,MEM,29,3,16.9,2.3,5.5,0.419,0.7,2.8,0.244,1.6,2.7,0.603,0.481,0.4,0.6,0.765,0.4,2,2.4,0.8,0.4,0.2,1,1.8,5.8
501,Zion Williamson,PF,22,NOP,29,29,33,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2,5,7,4.6,1.1,0.6,3.4,2.2,26
502,Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1,0.714,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8
503,James Wiseman,C,21,TOT,24,1,13.8,3,5.1,0.598,0,0.2,0.2,3,4.9,0.615,0.602,1.1,1.7,0.675,0.9,3.2,4.1,0.6,0.1,0.3,0.8,2,7.3
503,James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,0.628,0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9
503,James Wiseman,C,21,DET,3,1,22.7,4.7,9.3,0.5,0,1,0,4.7,8.3,0.56,0.5,0.3,0.7,0.5,1.3,7,8.3,0,0,0.3,1.7,3.3,9.7
504,Christian Wood,C,27,DAL,50,17,27.4,6.4,12.2,0.525,1.7,4.6,0.376,4.7,7.6,0.615,0.595,3.2,4.1,0.763,1.4,6.6,8,1.7,0.4,1.2,1.9,2.7,17.6
505,Delon Wright,PG,30,WAS,31,3,22.6,2.5,5.3,0.467,0.9,2.4,0.36,1.6,2.9,0.556,0.548,0.9,1,0.903,1.1,2.1,3.2,3.5,1.9,0.3,1,1.3,6.7
506,McKinley Wright IV,PG,24,DAL,20,1,10.3,1.2,2.5,0.469,0.2,0.7,0.286,1,1.8,0.543,0.51,0.4,0.6,0.636,0.3,1,1.3,1.9,0.4,0.2,0.6,0.9,2.9
507,Thaddeus Young,PF,34,TOR,49,9,15.5,2.1,3.8,0.562,0.1,0.6,0.161,2,3.1,0.643,0.576,0.4,0.5,0.692,1.4,1.8,3.2,1.4,1.1,0.1,0.8,1.8,4.7
508,Trae Young,PG,24,ATL,54,54,35.3,8.5,19.8,0.429,2.2,6.6,0.327,6.3,13.1,0.481,0.484,7.9,8.9,0.889,0.7,2.2,2.9,10.2,1.1,0.1,4.1,1.5,27
509,Cody Zeller,C,30,MIA,2,0,15.5,3,4.5,0.667,0,0,,3,4.5,0.667,0.667,1,1,1,2.5,1,3.5,1.5,0.5,0.5,1,3,7
510,Ivica Zubac,C,25,LAC,59,59,29.4,4,6.5,0.617,0,0,0,4,6.5,0.62,0.617,2.2,3.1,0.699,3.3,6.8,10.1,1.1,0.4,1.3,1.7,2.9,10.2
