Rk,Player,Tm,Salary 2022-23
134,Anthony Edwards,MIN,"$10,733,400"
135,Cade Cunningham,DET,"$10,552,800"
136,P.J. Tucker,PHI,"$10,490,000"
137,Mo Bamba,LAL,"$10,300,000"
138,Talen Horton-Tucker,UTA,"$10,260,000"
139,Jae Crowder,MIL,"$10,183,800"
140,Derrick Favors,HOU,"$10,183,800"
141,Ivica Zubac,LAC,"$10,123,457"
142,Reggie Bullock,DAL,"$10,012,800"
143,Alec Burks,DET,"$10,012,800"
144,Chet Holmgren,OKC,"$9,891,240"
145,De'Andre Hunter,ATL,"$9,835,881"
146,Danny Green,HOU,"$11,710,528"
147,Larry Nance Jr.,NOP,"$9,672,727"
148,James Wiseman,DET,"$9,603,360"
149,Landry Shamet,PHO,"$9,500,000"
150,Malik Monk,SAC,"$9,472,219"
151,Jalen Green,HOU,"$9,441,840"
152,Jakob Poeltl,TOR,"$9,398,148"
153,Dario Šarić,OKC,"$9,240,000"
154,Nerlens Noel,DET,"$9,240,000"
155,Royce O'Neale,BRK,"$9,200,000"
156,Kemba Walker,DET,"$37,281,261"
157,Monte Morris,WAS,"$9,125,000"
158,Mason Plumlee,LAC,"$9,080,417"
159,Alex Caruso,CHI,"$9,030,000"
160,Maxi Kleber,DAL,"$9,000,000"
161,Darius Garland,CLE,"$8,920,795"
162,Jabari Smith Jr.,HOU,"$8,882,640"
163,Nicolas Batum,CHO,"$19,700,319"
164,Kyle Anderson,MIN,"$8,780,488"
165,Victor Oladipo,MIA,"$8,750,000"
166,Daniel Theis,IND,"$8,694,369"
167,LaMelo Ball,CHO,"$8,623,920"
168,Nic Claxton,BRK,"$8,500,000"
169,Grayson Allen,MIL,"$8,500,000"
170,Seth Curry,BRK,"$8,496,653"
171,Evan Mobley,CLE,"$8,478,720"
172,Gary Payton II,GSW,"$8,300,000"
173,De'Anthony Melton,PHI,"$8,250,000"
174,JaMychal Green,OKC,"$10,036,090"
175,T.J. McConnell,IND,"$8,100,000"
176,Keegan Murray,SAC,"$8,008,440"
177,Kevon Looney,GSW,"$8,000,000"
178,Thaddeus Young,TOR,"$8,000,000"
179,DeAndre Jordan,DET,"$9,663,997"
180,Isaiah Hartenstein,NYK,"$7,804,879"
181,Delon Wright,WAS,"$7,804,878"
182,Patrick Williams,CHI,"$7,775,400"
183,Scottie Barnes,TOR,"$7,644,600"
184,Cedi Osman,CLE,"$7,426,088"
185,Coby White,CHI,"$7,413,955"
186,Zach Collins,SAS,"$7,350,000"
187,Taurean Prince,MIN,"$7,295,000"
188,Jaden Ivey,DET,"$7,252,200"
189,Jae'Sean Tate,HOU,"$7,065,217"
190,Isaac Okoro,CLE,"$7,040,880"
191,Cody Martin,CHO,"$7,000,000"
192,Jalen Suggs,ORL,"$6,922,320"
193,Jaxson Hayes,NOP,"$6,803,012"
194,Khem Birch,SAS,"$6,667,500"
195,Bennedict Mathurin,IND,"$6,586,800"
196,John Wall,HOU,"$47,345,760"
197,Caleb Martin,MIA,"$6,479,000"
198,Patty Mills,BRK,"$6,479,000"
199,Danilo Gallinari,BOS,"$19,479,000"
200,Joe Ingles,MIL,"$6,479,000"
201,Lonnie Walker IV,LAL,"$6,479,000"
202,Bruce Brown,DEN,"$6,479,000"
203,Onyeka Okongwu,ATL,"$6,395,160"
204,Justin Holiday,HOU,"$6,862,261"
205,Josh Giddey,OKC,"$6,287,400"
206,Rui Hachimura,LAL,"$6,263,188"
207,Rudy Gay,UTA,"$6,184,500"
208,Shaedon Sharpe,POR,"$6,012,960"
209,Cameron Payne,PHO,"$6,000,000"
210,Otto Porter Jr.,TOR,"$6,000,000"
211,Cam Reddish,POR,"$5,954,454"
212,Cameron Johnson,BRK,"$5,887,899"
213,Ricky Rubio,CLE,"$5,853,659"
214,Killian Hayes,DET,"$5,837,760"
215,P.J. Washington,CHO,"$5,808,435"
216,Jonathan Kuminga,GSW,"$5,739,840"
217,Pat Connaughton,MIL,"$5,728,393"
218,Tyler Herro,MIA,"$5,722,116"
219,Romeo Langford,SAS,"$5,634,257"
220,Dyson Daniels,NOP,"$5,508,600"
221,JaVale McGee,DAL,"$5,461,219"
222,Obi Toppin,NYK,"$5,348,280"
223,Franz Wagner,ORL,"$5,258,280"
224,Kendrick Nunn,WAS,"$5,250,000"
225,Hamidou Diallo,DET,"$5,200,000"
226,Garrett Temple,NOP,"$5,155,500"
227,Cory Joseph,DET,"$5,155,500"
228,Torrey Craig,PHO,"$5,121,951"
229,Jeremy Sochan,SAS,"$5,063,520"
230,David Nwaba,OKC,"$5,022,000"
231,Nickeil Alexander-Walker,MIN,"$5,009,633"
232,Furkan Korkmaz,PHI,"$5,000,000"
233,Deni Avdija,WAS,"$4,916,160"
234,Davion Mitchell,SAC,"$4,833,600"
235,Johnny Davis,WAS,"$4,810,320"
236,Goga Bitadze,IND,"$5,377,520"
237,Ish Smith,DEN,"$4,725,000"
238,Dewayne Dedmon,SAS,"$8,147,040"
239,Jalen Smith,IND,"$4,670,160"
240,Ziaire Williams,MEM,"$4,591,680"
241,Ousmane Dieng,OKC,"$4,569,840"
242,Maurice Harkless,HOU,"$4,564,980"
243,Donte DiVincenzo,GSW,"$4,500,000"
244,Jeff Green,DEN,"$4,500,000"
245,Devin Vassell,SAS,"$4,437,000"
246,Matisse Thybulle,POR,"$4,379,527"
247,Jarred Vanderbilt,LAL,"$4,374,000"
248,James Bouknight,CHO,"$4,362,240"
249,Brandon Clarke,MEM,"$4,343,920"
250,Jalen Williams,OKC,"$4,341,480"
251,Grant Williams,BOS,"$4,306,281"
252,Darius Bazley,PHO,"$4,264,629"
253,Ty Jerome,HOU,"$4,220,057"
254,Tyrese Haliburton,IND,"$4,215,120"
255,Nassir Little,POR,"$4,171,548"
256,Joshua Primo,SAS,"$4,144,320"
257,Jalen Duren,DET,"$4,124,280"
258,Danuel House Jr.,PHI,"$4,105,000"
259,Justise Winslow,POR,"$4,097,561"
260,Dylan Windler,CLE,"$4,037,278"
261,Kira Lewis Jr.,NOP,"$4,004,280"
262,Terence Davis,SAC,"$4,000,000"
263,George Hill,IND,"$4,000,000"
264,Chris Duarte,IND,"$3,936,960"
265,Jevon Carter,BRK,"$6,025,000"
266,Alex Len,SAC,"$3,918,600"
267,Ochai Agbaji,UTA,"$3,918,360"
268,Jordan Poole,GSW,"$3,901,399"
269,Keldon Johnson,SAS,"$3,873,025"
270,Aaron Nesmith,IND,"$3,804,360"
271,Moses Moody,GSW,"$3,740,160"
272,Mark Williams,CHO,"$3,722,040"
273,Cole Anthony,ORL,"$3,613,680"
274,Corey Kispert,WAS,"$3,552,840"
275,AJ Griffin,ATL,"$3,536,160"
276,Boban Marjanović,HOU,"$4,101,478"
277,Mike Muscala,BOS,"$3,500,000"
278,Georges Niang,PHI,"$3,465,000"
279,Chuma Okeke,ORL,"$3,433,320"
280,Isaiah Stewart,DET,"$3,433,320"
281,Amir Coffey,LAC,"$3,395,062"
282,Alperen Şengün,HOU,"$3,375,360"
283,Tari Eason,HOU,"$3,359,160"
284,Aleksej Pokusevski,OKC,"$3,261,480"
285,Kevin Porter Jr.,HOU,"$3,217,631"
286,Trey Murphy III,NOP,"$3,206,520"
287,Simone Fontecchio,UTA,"$3,205,128"
288,Andre Drummond,CHI,"$3,200,000"
289,Derrick Jones Jr.,CHI,"$3,200,000"
290,Dalen Terry,CHI,"$3,191,400"
291,Kevin Love,MIA,"$32,056,968"
292,Josh Green,DAL,"$3,098,400"
293,Jake LaRavia,MEM,"$3,047,640"
294,Tre Mann,OKC,"$3,046,200"
295,Kevin Knox,POR,"$3,000,000"
296,Sterling Brown,OKC,"$3,000,000"
297,Saddiq Bey,ATL,"$2,959,080"
298,Malaki Branham,SAS,"$2,925,600"
299,Kai Jones,CHO,"$2,909,040"
300,Dewayne Dedmon,DET,"$8,147,040"
301,Andrew Nicholson,POR,"$2,844,430"
302,Precious Achiuwa,TOR,"$2,840,160"
303,Christian Braun,DEN,"$2,808,600"
304,Jordan Nwora,IND,"$2,800,000"
305,Jalen Johnson,ATL,"$2,792,640"
306,Tyrese Maxey,PHI,"$2,726,880"
307,Bruno Fernando,ATL,"$2,717,391"
308,Walker Kessler,UTA,"$2,696,400"
309,Keon Johnson,POR,"$2,681,040"
310,Trey Lyles,SAC,"$2,625,000"
311,Zeke Nnaji,DEN,"$2,617,800"
312,Charles Bassey,SAS,"$2,674,742"
313,David Roddy,MEM,"$2,588,640"
314,Isaiah Jackson,IND,"$2,573,760"
315,MarJon Beauchamp,MIL,"$2,485,200"
316,Usman Garuba,HOU,"$2,471,160"
317,Leandro Bolmaro,UTA,"$2,471,160"
