,,22/23,23/24,24/25,25/26,26/27,27/28
111,Kyle Kuzma,13000000,13000000,0,0,0,0
111,Patrick Beverley,13000000,0,0,0,0,0
114,Josh Hart,12960000,12960000,0,0,0,0
115,Kelly Olynyk,12804878,12195122,0,0,0,0
116,Chris Boucher,12690000,11750000,10810000,0,0,0
117,Kelly Oubre,12600000,0,0,0,0,0
118,Marvin Bagley,12500000,12500000,12500000,0,0,0
119,Dorian Finney-Smith,12402000,13394160,14386320,15378480,0,0
120,Robert Covington,12307692,11692308,0,0,0,0
121,Josh Richardson,12196094,0,0,0,0,0
122,Ja Morant,12119440,33250000,35910000,38570000,41230000,43890000
123,Devonte Graham,11550000,12100000,12650000,0,0,0
124,Terrence Ross,11500000,0,0,0,0,0
125,Dillon Brooks,11400000,0,0,0,0,0
126,Richaun Holmes,11215260,12046020,12876780,0,0,0
126,Reggie Jackson,11215260,0,0,0,0,0
128,Dwight Powell,11080125,0,0,0,0,0
129,Paolo Banchero,11055120,11608080,12160800,15334769,19935199,0
130,Robert Williams,10937502,11794644,12651786,13508928,0,0
131,RJ Barrett,10900634,14301632,0,0,0,0
132,Bobby Portis,10843350,11710818,12578286,13445754,0,0
133,DeAndre Jordan,10733758,0,0,0,0,0
134,Anthony Edwards,10733400,13534817,17595263,0,0,0
135,Cade Cunningham,10552800,11055360,13940809,18123052,0,0
136,PJ Tucker,10490000,11014500,11539000,0,0,0
137,Mo Bamba,10300000,10300000,0,0,0,0
138,Talen Horton-Tucker,10260000,11020000,0,0,0,0
139,Derrick Favors,10183800,0,0,0,0,0
139,Jae Crowder,10183800,0,0,0,0,0
141,Ivica Zubac,10123457,10933333,11743210,0,0,0
142,Reggie Bullock,10012800,10489600,0,0,0,0
142,Alec Burks,10012800,10489600,0,0,0,0
144,Danny Green,10000000,0,0,0,0,0
145,Chet Holmgren,9891240,10386000,10880640,13731368,17919435,0
146,De'Andre Hunter,9835881,12973527,0,0,0,0
147,Larry Nance Jr,9672727,0,0,0,0,0
148,James Wiseman,9603360,12119440,15815870,0,0,0
149,Landry Shamet,9500000,10250000,11000000,11750000,0,0
150,Malik Monk,9472219,9945830,0,0,0,0
151,Jalen Green,9441840,9891480,12483048,16290377,0,0
152,Jakob Poeltl,9398148,0,0,0,0,0
153,Nerlens Noel,9240000,9680000,0,0,0,0
153,Dario Saric,9240000,0,0,0,0,0
155,Royce O'Neale,9200000,9500000,0,0,0,0
156,Monte Morris,9125000,9800926,0,0,0,0
157,Mason Plumlee,9080417,0,0,0,0,0
158,Alex Caruso,9030000,9460000,9890000,0,0,0
159,Maxi Kleber,9000000,0,0,0,0,0
160,Darius Garland,8920794,33250000,35910000,38570000,41230000,43890000
161,Jabari Smith,8882640,9326520,9770880,12350392,16203715,0
162,Kyle Anderson,8780488,9219512,0,0,0,0
163,Victor Oladipo,8750000,9450000,0,0,0,0
164,Daniel Theis,8694369,9108386,9522404,0,0,0
165,LaMelo Ball,8623920,10900635,14301633,0,0,0
166,Nicolas Claxton,8500000,8750000,0,0,0,0
166,Grayson Allen,8500000,8500000,0,0,0,0
168,Seth Curry,8496653,0,0,0,0,0
169,Evan Mobley,8478720,8882640,11227657,14730686,0,0
170,Gary Payton II,8300000,8715000,9130000,0,0,0
171,De'Anthony Melton,8250000,8000000,0,0,0,0
172,JaMychal Green,8200000,0,0,0,0,0
173,TJ McConnell,8100000,8700000,9300000,0,0,0
174,Keegan Murray,8008440,8409000,8809560,11144093,14699059,0
175,Kevon Looney,8000000,8500000,9000000,0,0,0
175,Thaddeus Young,8000000,8000000,0,0,0,0
177,Isaiah Hartenstein,7804879,8195121,0,0,0,0
178,Delon Wright,7804878,8195122,0,0,0,0
179,Patrick Williams,7775400,9835881,12973527,0,0,0
180,Scottie Barnes,7644600,8008680,10130980,13362763,0,0
181,Dewayne Dedmon,7448674,7072674,2748674,0,0,0
182,Cedi Osman,7426088,6718842,0,0,0,0
183,Coby White,7413955,9942113,0,0,0,0
184,Zach Collins,7350000,7700000,0,0,0,0
